Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
12351,PF,Derrick,Favors,33.3,26,7700,PHI@UTA,UTA,PHI,GTD,Back
9475,PG,Derrick,Rose,25.2,26,6400,TOR@CHI,CHI,TOR,,
9613,SG,Devin,Harris,15,25,3600,MIL@DAL,DAL,MIL,,
58460,SG,Devin,Booker,9,26,3600,CLE@PHO,PHO,CLE,,
16301,C,Dewayne,Dedmon,11.8,17,3500,NO@ORL,ORL,NO,,
9500,PF,Dirk,Nowitzki,30.2,29,6900,MIL@DAL,DAL,MIL,,
12832,PG,Donald,Sloan,7.8,12,3500,BKN@MIA,BKN,MIA,,
18256,SF,Doug,McDermott,12.3,28,3500,TOR@CHI,CHI,TOR,,
15860,PF,Draymond,Green,38.6,29,9200,SAC@GS,GS,SAC,,
9503,PF,Drew,Gooden,10.7,6,3500,LAC@WAS,WAS,LAC,O,Calf
16443,PF,Duje,Dukan,0,25,3500,SAC@GS,SAC,GS,,
16196,PF,Dwight,Powell,17.6,29,3700,MIL@DAL,DAL,MIL,,
9585,SG,Dwyane,Wade,30.7,28,7300,BKN@MIA,MIA,BKN,,
14554,PG,E'Twaun,Moore,8.5,22,3500,TOR@CHI,CHI,TOR,,
19138,PG,Elfrid,Payton,27.4,30,6500,NO@ORL,ORL,NO,,
12828,SF,Elijah,Millsap,5.6,17,3500,PHI@UTA,UTA,PHI,,
12355,SG,Eric,Bledsoe,36.2,31,7600,CLE@PHO,PHO,CLE,O,Knee
9556,SG,Eric,Gordon,23.8,30,5300,NO@ORL,NO,ORL,,
16063,PF,Eric,Moreland,3.8,5,3500,SAC@GS,SAC,GS,O,Foot
23096,SG,Evan,Fournier,23.2,30,5200,NO@ORL,ORL,NO,,
16331,C,Festus,Ezeli,20.5,29,4800,SAC@GS,GS,SAC,,
16448,PF,Frank,Kaminsky,13.8,28,4000,LAL@CHA,CHA,LAL,,
11074,PG,Garrett,Temple,13.6,26,4300,LAC@WAS,WAS,LAC,,
12445,SG,Gary,Neal,15,24,3800,LAC@WAS,WAS,LAC,GTD,Quadriceps
9703,PG,George,Hill,23.5,26,5400,ATL@IND,IND,ATL,,
9849,SG,Gerald,Green,16.6,23,4100,BKN@MIA,MIA,BKN,,
40199,SG,Giannis,Antetokounmpo,29.1,29,6800,MIL@DAL,MIL,DAL,,
23800,SF,Glenn,Robinson III,6.9,18,3500,ATL@IND,IND,ATL,,
9673,PG,Goran,Dragic,23.6,28,6000,BKN@MIA,MIA,BKN,,
12366,SF,Gordon,Hayward,29.6,28,7400,PHI@UTA,UTA,PHI,,
15771,C,Gorgui,Dieng,20.7,30,5100,MIN@SA,MIN,SA,,
12337,C,Greg,Monroe,33.6,29,7600,MIL@DAL,MIL,DAL,,
12344,PG,Greivis,Vasquez,15.6,16,3600,MIL@DAL,MIL,DAL,O,Ankle
15946,SF,Harrison,Barnes,23.5,17,5200,SAC@GS,GS,SAC,O,Ankle
12363,C,Hassan,Whiteside,33.1,29,7500,BKN@MIA,MIA,BKN,GTD,Illness
15631,SF,Hollis,Thompson,15.4,32,3600,PHI@UTA,PHI,UTA,,
9953,C,Ian,Mahinmi,21.7,28,5300,ATL@IND,IND,ATL,,
17747,SG,Ian,Clark,5.7,24,3500,SAC@GS,GS,SAC,,
14515,SG,Iman,Shumpert,13.5,6,4400,CLE@PHO,CLE,PHO,,
19456,PG,Isaiah,Canaan,17.6,32,4500,PHI@UTA,PHI,UTA,,
12511,PG,Ishmael,Smith,22.2,28,4500,PHI@UTA,PHI,UTA,,
9655,SG,J.J.,Redick,19.9,27,4800,LAC@WAS,LAC,WAS,,
9506,SG,J.R.,Smith,18.5,24,4600,CLE@PHO,CLE,PHO,,
42550,PF,Jabari,Parker,19.1,25,4800,MIL@DAL,MIL,DAL,,
58083,C,Jahlil,Okafor,29.5,29,6300,PHI@UTA,PHI,UTA,O,Knee
16183,SF,Jakarr,Sampson,10.2,31,3500,PHI@UTA,PHI,UTA,,
9448,SG,Jamal,Crawford,16.6,31,3500,LAC@WAS,LAC,WAS,,
9966,SF,James,Johnson,10.7,25,3900,TOR@CHI,TOR,CHI,,
9785,SF,James,Jones,6.3,25,3500,CLE@PHO,CLE,PHO,,
12364,SG,James,Anderson,3.8,14,3500,SAC@GS,SAC,GS,,
15955,PF,James Michael,McAdoo,3.7,22,3500,SAC@GS,GS,SAC,,
9677,SF,Jared,Dudley,16.5,27,4100,LAC@WAS,WAS,LAC,,
16059,SG,Jared,Cunningham,6.7,23,3500,CLE@PHO,CLE,PHO,,
16375,SG,Jarell,Eddie,18.3,1,3500,LAC@WAS,WAS,LAC,,
16925,PF,Jarnell,Stokes,1.2,2,3500,BKN@MIA,MIA,BKN,,
9713,PG,Jarrett,Jack,28.9,29,6500,BKN@MIA,BKN,MIA,,
9669,PF,Jason,Smith,10.4,25,3500,NO@ORL,ORL,NO,,
9698,PF,Jason,Thompson,4.9,14,3500,SAC@GS,GS,SAC,,
9739,C,JaVale,McGee,9.4,11,3500,MIL@DAL,DAL,MIL,,
9446,PG,Jeff,Teague,28.1,29,6100,ATL@IND,ATL,IND,,
15736,C,Jeff,Withey,9.5,20,3600,PHI@UTA,UTA,PHI,,
23831,PF,Jerami,Grant,19.9,32,4100,PHI@UTA,PHI,UTA,,
12443,PG,Jeremy,Lin,21.3,29,5200,LAL@CHA,CHA,LAL,,
15559,SG,Jeremy,Lamb,19.7,28,4100,LAL@CHA,CHA,LAL,,
12391,PF,Jeremy,Evans,4.6,21,3500,MIL@DAL,DAL,MIL,,
9810,PG,Jerryd,Bayless,21.9,19,4600,MIL@DAL,MIL,DAL,GTD,Ankle
14528,SG,Jimmy,Butler,36.1,28,8500,TOR@CHI,CHI,TOR,,
9483,C,Joakim,Noah,22.6,25,5400,TOR@CHI,CHI,TOR,O,Shoulder
9447,SG,Joe,Johnson,21.5,30,5300,BKN@MIA,BKN,MIA,,
59318,SF,Joe,Ingles,7.5,27,3500,PHI@UTA,UTA,PHI,,
16363,SG,Joe,Harris,1.7,5,3500,CLE@PHO,CLE,PHO,,
12332,PG,John,Wall,40.2,28,10000,LAC@WAS,WAS,LAC,,
15952,PF,John,Henson,15.7,27,3700,MIL@DAL,MIL,DAL,GTD,Elbow
16335,SG,John,Jenkins,5.5,13,3500,MIL@DAL,DAL,MIL,,
15792,C,Johnny,O'Bryant,9,29,3500,MIL@DAL,MIL,DAL,,
14539,PF,Jon,Leuer,19.3,32,4600,CLE@PHO,PHO,CLE,,
14503,C,Jonas,Valanciunas,24.9,14,5700,TOR@CHI,TOR,CHI,,
18821,SG,Jonathon,Simmons,9.7,18,3500,MIN@SA,SA,MIN,,
20640,PG,Jordan,Clarkson,23.2,29,5800,LAL@CHA,LAL,CHA,,
9752,C,Jordan,Hill,22,27,4900,ATL@IND,IND,ATL,,
