CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
202718,Chandler Parsons,1610612742,DAL,F,27.0,14,14,1.0,2.21,5.43,0.408,0.405,0.003
203934,Lamar Patterson,1610612737,ATL,G-F,24.0,15,15,1.0,2.4,5.4,0.444,0.414,0.03
2419,Tayshaun Prince,1610612750,MIN,F,35.0,18,18,1.0,2.67,5.39,0.495,0.425,0.069
1626164,Devin Booker,1610612756,PHX,G,19.0,13,13,1.0,2.46,5.38,0.457,0.415,0.042
202338,Kevin Seraphin,1610612752,NYK,F-C,25.0,16,16,1.0,2.19,5.38,0.407,0.47,-0.063
2756,Sasha Vujacic,1610612752,NYK,G,31.0,14,14,1.0,2.57,5.36,0.48,0.433,0.047
201196,Ramon Sessions,1610612764,WAS,G,29.0,17,17,1.0,2.59,5.35,0.484,0.41,0.073
203524,Solomon Hill,1610612754,IND,F,24.0,3,3,1.0,2.33,5.33,0.438,0.417,0.02
1891,Jason Terry,1610612745,HOU,G,38.0,16,16,1.0,2.94,5.31,0.553,0.423,0.13
201571,D.J. Augustin,1610612760,OKC,G,28.0,19,19,1.0,2.58,5.26,0.49,0.411,0.079
203143,Pablo Prigioni,1610612746,LAC,G,38.0,6,6,1.0,2.5,5.17,0.484,0.414,0.07
202325,Wesley Johnson,1610612746,LAC,F-G,28.0,20,20,1.0,2.2,5.1,0.431,0.448,-0.016
101111,Charlie Villanueva,1610612742,DAL,F,31.0,14,14,1.0,2.21,5.0,0.443,0.439,0.004
203928,Cory Jefferson,1610612756,PHX,F,24.0,2,2,1.0,2.0,5.0,0.4,0.446,-0.046
201949,James Johnson,1610612761,TOR,F,28.0,16,16,1.0,1.81,5.0,0.363,0.417,-0.055
202388,Donald Sloan,1610612751,BKN,G,27.0,2,2,1.0,2.5,5.0,0.5,0.415,0.085
1626209,Mario Hezonja,1610612753,ORL,G-F,20.0,14,14,1.0,2.5,5.0,0.5,0.418,0.082
201971,DeJuan Blair,1610612764,WAS,C-F,26.0,6,6,1.0,3.0,5.0,0.6,0.462,0.138
2555,Nick Collison,1610612760,OKC,F,35.0,16,16,1.0,2.19,4.94,0.443,0.435,0.008
1626149,Montrezl Harrell,1610612745,HOU,F,21.0,13,13,1.0,2.62,4.92,0.531,0.453,0.079
203940,Adreian Payne,1610612750,MIN,F,24.0,12,12,1.0,2.17,4.92,0.441,0.452,-0.011
201973,Jonas Jerebko,1610612738,BOS,F,28.0,18,18,1.0,2.39,4.89,0.489,0.432,0.057
1889,Andre Miller,1610612750,MIN,G,39.0,7,7,1.0,2.57,4.86,0.529,0.414,0.116
201627,Anthony Morrow,1610612760,OKC,G,30.0,18,18,1.0,2.39,4.83,0.494,0.415,0.079
1713,Vince Carter,1610612763,MEM,G-F,38.0,8,8,1.0,1.5,4.75,0.316,0.421,-0.105
201961,Wayne Ellington,1610612751,BKN,G,28.0,18,18,1.0,2.06,4.72,0.435,0.423,0.012
203498,Shabazz Muhammad,1610612750,MIN,F,23.0,18,18,1.0,2.06,4.72,0.435,0.418,0.017
1626174,Christian Wood,1610612755,PHI,F,20.0,10,10,1.0,1.7,4.7,0.362,0.425,-0.064
2400,Drew Gooden,1610612764,WAS,F,34.0,6,6,1.0,2.17,4.67,0.464,0.411,0.053
203112,Quincy Acy,1610612758,SAC,F,25.0,10,10,1.0,2.0,4.6,0.435,0.434,0.001
202379,Jeremy Evans,1610612742,DAL,F,28.0,11,11,1.0,1.73,4.55,0.38,0.443,-0.063
2757,Beno Udrih,1610612748,MIA,G,33.0,13,13,1.0,1.85,4.54,0.407,0.42,-0.013
200745,Andrea Bargnani,1610612751,BKN,C-F,30.0,17,17,1.0,2.82,4.53,0.623,0.457,0.166
203922,Glenn Robinson,1610612754,IND,G-F,21.0,10,10,1.0,2.1,4.5,0.467,0.426,0.041
203099,Jared Cunningham,1610612739,CLE,G,24.0,14,14,1.0,1.86,4.5,0.413,0.408,0.005
201962,Toney Douglas,1610612740,NOP,G,29.0,15,15,1.0,2.27,4.47,0.507,0.448,0.059
203515,Phil Pressey,1610612755,PHI,G,24.0,13,13,1.0,2.08,4.46,0.466,0.424,0.042
101179,Ronnie Price,1610612756,PHX,G,32.0,18,18,1.0,1.89,4.44,0.425,0.425,0.0
1626162,Kelly Oubre,1610612764,WAS,F,19.0,7,7,1.0,2.0,4.43,0.452,0.411,0.041
1626196,Josh Richardson,1610612748,MIA,G,22.0,5,5,1.0,2.2,4.4,0.5,0.401,0.099
1626171,Bobby Portis,1610612741,CHI,F,20.0,3,3,1.0,1.67,4.33,0.385,0.453,-0.068
203481,Jeff Withey,1610612762,UTA,C,25.0,9,9,1.0,1.56,4.33,0.359,0.449,-0.09
202713,Kyle Singler,1610612760,OKC,F,27.0,12,12,1.0,2.17,4.33,0.5,0.421,0.08
203092,Tyler Zeller,1610612738,BOS,C-F,25.0,13,13,1.0,2.46,4.31,0.571,0.448,0.124
201575,Brandon Rush,1610612744,GSW,G-F,30.0,11,11,1.0,2.18,4.27,0.511,0.446,0.065
1626168,Trey Lyles,1610612762,UTA,F,20.0,13,13,1.0,1.92,4.23,0.455,0.452,0.002
2760,Anderson Varejao,1610612739,CLE,F,33.0,17,17,1.0,2.0,4.18,0.479,0.436,0.042
203118,Mike Scott,1610612737,ATL,F,27.0,17,17,1.0,1.76,4.18,0.423,0.443,-0.021
203613,Jonathon Simmons,1610612759,SAS,G-F,26.0,6,6,1.0,2.17,4.17,0.52,0.428,0.092
203937,Kyle Anderson,1610612759,SAS,F,22.0,17,17,1.0,1.65,4.12,0.4,0.407,-0.007
200811,Lou Amundson,1610612752,NYK,F,32.0,9,9,1.0,1.78,4.11,0.432,0.464,-0.032
203462,Archie Goodwin,1610612756,PHX,G,21.0,10,10,1.0,1.6,4.1,0.39,0.402,-0.012
1626145,Tyus Jones,1610612750,MIN,G,19.0,1,1,1.0,2.0,4.0,0.5,0.396,0.104
1626192,Pat Connaughton,1610612757,POR,G,22.0,1,1,1.0,3.0,4.0,0.75,0.441,0.31
203501,Tim Hardaway Jr.,1610612737,ATL,G,23.0,4,4,1.0,2.0,4.0,0.5,0.426,0.074
203961,Eric Moreland,1610612758,SAC,F-C,23.0,2,2,1.0,1.0,4.0,0.25,0.405,-0.155
1626257,Salah Mejri,1610612742,DAL,C,29.0,2,2,1.0,1.0,4.0,0.25,0.451,-0.201
203996,Damien Inglis,1610612749,MIL,F,20.0,4,4,1.0,2.0,4.0,0.5,0.375,0.125
1626273,Marcelo Huertas,1610612747,LAL,G,32.0,8,8,1.0,2.38,4.0,0.594,0.44,0.153
202708,Norris Cole,1610612740,NOP,G,27.0,3,3,1.0,2.33,4.0,0.583,0.426,0.157
202700,Donatas Motiejunas,1610612745,HOU,F-C,25.0,1,1,1.0,2.0,4.0,0.5,0.471,0.029
