TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,CFID,CFPARAMS
1610612760,Oklahoma City Thunder,20,12,8,0.6,47.8,37.3,85.7,0.435,7.5,20.9,0.357,19.1,25.6,0.749,10.6,29.3,39.9,20.4,14.1,9.6,4.8,6.8,19.8,21.6,101.2,-5.2,10,Oklahoma City Thunder
1610612753,Orlando Magic,20,11,9,0.55,48.6,35.2,83.7,0.42,9.0,27.6,0.326,19.7,26.3,0.748,10.9,34.2,45.1,22.1,15.3,7.3,6.2,6.0,18.3,21.8,99.0,-1.4,10,Orlando Magic
1610612755,Philadelphia 76ers,22,1,21,0.045,48.1,37.7,84.2,0.447,7.4,20.9,0.354,21.0,26.3,0.798,10.8,36.4,47.2,22.8,15.4,8.1,6.7,6.8,19.4,22.2,103.8,11.1,10,Philadelphia 76ers
1610612756,Phoenix Suns,22,9,13,0.409,46.6,38.2,81.9,0.466,8.7,23.6,0.371,16.7,23.4,0.713,9.9,32.9,42.7,20.6,16.0,8.1,4.5,4.0,20.8,20.6,101.8,-0.8,10,Phoenix Suns
1610612757,Portland Trail Blazers,22,9,13,0.409,48.8,37.4,85.9,0.436,7.7,22.8,0.338,20.3,27.3,0.744,11.0,33.5,44.4,21.3,12.5,7.6,5.3,4.6,19.0,22.8,102.9,-0.4,10,Portland Trail Blazers
1610612758,Sacramento Kings,22,7,15,0.318,46.6,38.5,82.5,0.467,9.6,27.4,0.349,19.3,25.4,0.762,10.9,32.8,43.7,23.5,16.2,8.5,5.2,4.0,20.9,21.0,105.9,4.4,10,Sacramento Kings
1610612759,San Antonio Spurs,22,18,4,0.818,49.9,36.3,86.2,0.421,6.5,20.6,0.313,13.9,18.4,0.758,9.5,32.7,42.2,21.6,15.2,7.9,3.8,6.2,20.1,17.9,93.0,-12.1,10,San Antonio Spurs
1610612761,Toronto Raptors,22,13,9,0.591,49.6,35.3,84.1,0.42,9.2,25.6,0.36,19.6,24.8,0.79,10.5,32.2,42.7,21.8,15.1,7.3,5.6,4.2,23.9,20.9,99.4,-5.2,10,Toronto Raptors
1610612762,Utah Jazz,18,9,9,0.5,50.4,36.0,81.3,0.443,7.9,22.2,0.358,20.2,26.4,0.763,10.1,31.8,42.0,18.8,16.7,8.0,6.3,6.0,21.9,23.6,100.2,-1.3,10,Utah Jazz
1610612764,Washington Wizards,19,9,10,0.474,47.6,38.1,82.5,0.462,9.8,25.1,0.391,16.9,21.5,0.788,9.6,34.7,44.3,22.6,17.5,8.1,3.8,3.3,21.0,20.5,103.0,3.2,10,Washington Wizards
