PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS
200794,Paul Millsap,1610612737,ATL,30.0,3,1,2,0.333,32.8,6.0,10.3,0.581,0.7,2.0,0.333,3.7,6.7,0.55,1.3,6.7,8.0,3.7,1.3,2.0,1.7,0.7,3.3,4.3,16.3,-15.0,1,0,5,"200794,1610612737"
1718,Paul Pierce,1610612746,LAC,38.0,3,2,1,0.667,8.0,1.3,3.0,0.444,0.7,1.7,0.4,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.0,0.3,3.7,-5.3,0,0,5,"1718,1610612746"
200765,Rajon Rondo,1610612758,SAC,29.0,3,2,1,0.667,37.8,5.0,9.0,0.556,0.7,1.7,0.4,2.7,3.3,0.8,1.7,6.7,8.3,11.7,3.0,2.3,0.0,0.3,2.0,2.0,13.3,2.7,2,0,5,"200765,1610612758"
201196,Ramon Sessions,1610612764,WAS,29.0,3,1,2,0.333,23.8,4.0,7.0,0.571,0.7,2.3,0.286,4.7,5.7,0.824,0.0,2.0,2.0,3.0,1.3,0.0,0.3,0.3,2.0,4.7,13.3,-5.0,0,0,5,"201196,1610612764"
200751,Randy Foye,1610612743,DEN,32.0,3,2,1,0.667,18.6,2.0,5.0,0.4,0.3,2.3,0.143,1.0,1.0,1.0,0.3,2.0,2.3,1.0,1.0,0.3,0.0,0.3,2.3,1.0,5.3,-5.3,0,0,5,"200751,1610612743"
1626173,Rashad Vaughn,1610612749,MIL,19.0,3,1,2,0.333,10.6,0.0,1.3,0.0,0.0,0.7,0.0,0.7,0.7,1.0,0.0,2.0,2.0,0.3,0.0,0.7,0.0,0.3,1.3,0.3,0.7,0.7,0,0,5,"1626173,1610612749"
2446,Rasual Butler,1610612759,SAS,36.0,2,2,0,1.0,8.8,2.0,3.0,0.667,1.0,2.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,5.5,5.5,0,0,5,"2446,1610612759"
203526,Raul Neto,1610612762,UTA,23.0,2,1,1,0.5,16.5,1.0,3.5,0.286,0.5,2.5,0.2,0.0,0.0,0.0,0.0,2.0,2.0,2.5,1.5,1.0,0.0,0.0,0.0,0.5,2.5,2.5,0,0,5,"203526,1610612762"
203492,Ray McCallum,1610612759,SAS,24.0,1,1,0,1.0,23.5,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,1.0,3.0,0.0,5.0,9.0,0,0,5,"203492,1610612759"
101109,Raymond Felton,1610612742,DAL,31.0,3,1,2,0.333,34.0,4.3,10.7,0.406,1.0,3.7,0.273,2.0,2.0,1.0,0.7,6.7,7.3,7.0,1.0,1.0,0.0,0.0,0.7,2.0,11.7,11.0,1,1,5,"101109,1610612742"
