CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201158,Marco Belinelli,1610612758,SAC,G-F,29.0,19,19,1.0,3.63,8.05,0.451,0.425,0.026
2746,Josh Smith,1610612746,LAC,F,29.0,19,19,1.0,3.16,8.0,0.395,0.462,-0.068
202388,Donald Sloan,1610612751,BKN,G,27.0,1,1,1.0,4.0,8.0,0.5,0.405,0.096
202391,Jeremy Lin,1610612766,CHA,G,27.0,18,18,1.0,3.33,7.94,0.42,0.409,0.01
203469,Cody Zeller,1610612766,CHA,F-C,23.0,16,16,1.0,3.63,7.94,0.457,0.453,0.004
201959,Taj Gibson,1610612741,CHI,F,30.0,16,16,1.0,3.25,7.94,0.409,0.443,-0.034
202344,Trevor Booker,1610612762,UTA,F,28.0,14,14,1.0,3.0,7.93,0.378,0.452,-0.073
201584,Courtney Lee,1610612763,MEM,G,30.0,19,19,1.0,3.53,7.89,0.447,0.42,0.027
203917,Nik Stauskas,1610612755,PHI,G,22.0,18,18,1.0,3.11,7.89,0.394,0.417,-0.023
2449,Luis Scola,1610612761,TOR,F,35.0,20,20,1.0,3.75,7.85,0.478,0.457,0.021
201168,Tiago Splitter,1610612737,ATL,C-F,30.0,13,13,1.0,3.85,7.77,0.495,0.457,0.038
202337,Luke Babbitt,1610612740,NOP,F,26.0,12,12,1.0,4.42,7.75,0.57,0.432,0.138
202692,Alec Burks,1610612762,UTA,G,24.0,16,16,1.0,3.63,7.75,0.468,0.441,0.026
203503,Tony Snell,1610612741,CHI,F,24.0,16,16,1.0,2.75,7.75,0.355,0.42,-0.065
203463,Ben McLemore,1610612758,SAC,G,22.0,19,19,1.0,3.74,7.74,0.483,0.445,0.038
2403,Nene,1610612764,WAS,F-C,33.0,11,11,1.0,3.82,7.73,0.494,0.444,0.05
2544,LeBron James,1610612739,CLE,F,30.0,18,18,1.0,2.28,7.72,0.295,0.431,-0.136
201952,Jeff Teague,1610612737,ATL,G,27.0,17,17,1.0,3.29,7.71,0.427,0.428,-0.001
203898,Tyler Ennis,1610612749,MIL,G,21.0,7,7,1.0,2.86,7.71,0.37,0.413,-0.043
203488,Mike Muscala,1610612737,ATL,F-C,24.0,13,13,1.0,3.69,7.69,0.48,0.457,0.023
2546,Carmelo Anthony,1610612752,NYK,F,31.0,18,18,1.0,2.61,7.67,0.341,0.442,-0.101
2548,Dwyane Wade,1610612748,MIA,G,33.0,16,16,1.0,3.5,7.63,0.459,0.44,0.019
200757,Thabo Sefolosha,1610612737,ATL,G-F,31.0,16,16,1.0,3.63,7.63,0.475,0.449,0.027
2738,Andre Iguodala,1610612744,GSW,G-F,31.0,19,19,1.0,3.11,7.58,0.41,0.433,-0.023
101135,David Lee,1610612738,BOS,F-C,32.0,18,18,1.0,3.28,7.56,0.434,0.452,-0.018
201167,Arron Afflalo,1610612752,NYK,G,30.0,11,11,1.0,3.91,7.55,0.518,0.423,0.095
101126,Nate Robinson,1610612740,NOP,G,31.0,2,2,1.0,3.0,7.5,0.4,0.483,-0.083
202066,Garrett Temple,1610612764,WAS,G,29.0,12,12,1.0,3.5,7.5,0.467,0.41,0.057
203459,Allen Crabbe,1610612757,POR,F,23.0,19,19,1.0,3.26,7.47,0.437,0.416,0.02
2564,Boris Diaw,1610612759,SAS,C-F,33.0,19,19,1.0,2.79,7.42,0.376,0.446,-0.07
203897,Zach LaVine,1610612750,MIN,G,20.0,17,17,1.0,3.35,7.41,0.452,0.43,0.022
203999,Nikola Jokic,1610612743,DEN,C,20.0,19,19,1.0,3.53,7.37,0.479,0.486,-0.008
2549,Chris Kaman,1610612757,POR,C,33.0,3,3,1.0,3.33,7.33,0.455,0.457,-0.003
203527,Ryan Kelly,1610612747,LAL,F,24.0,6,6,1.0,2.83,7.33,0.386,0.461,-0.074
202340,Avery Bradley,1610612738,BOS,G,25.0,16,16,1.0,3.0,7.31,0.41,0.429,-0.019
203798,PJ Hairston,1610612766,CHA,F-G,22.0,14,14,1.0,3.71,7.29,0.51,0.438,0.072
2210,Richard Jefferson,1610612739,CLE,F,35.0,18,18,1.0,3.0,7.28,0.412,0.419,-0.007
202323,Evan Turner,1610612738,BOS,G-F,27.0,18,18,1.0,2.39,7.28,0.328,0.424,-0.096
1626161,Willie Cauley-Stein,1610612758,SAC,C,22.0,19,19,1.0,3.37,7.26,0.464,0.459,0.004
201150,Spencer Hawes,1610612766,CHA,F-C,27.0,16,16,1.0,3.19,7.25,0.44,0.462,-0.023
203530,Joffrey Lauvergne,1610612743,DEN,C-F,24.0,7,7,1.0,3.43,7.14,0.48,0.456,0.024
201967,Dante Cunningham,1610612740,NOP,F,28.0,18,18,1.0,4.0,7.11,0.563,0.447,0.116
202730,Lavoy Allen,1610612754,IND,F-C,26.0,16,16,1.0,3.0,7.06,0.425,0.444,-0.02
203477,Isaiah Canaan,1610612755,PHI,G,24.0,20,20,1.0,3.0,7.0,0.429,0.419,0.01
204020,Tyler Johnson,1610612748,MIA,G,23.0,16,16,1.0,2.88,7.0,0.411,0.423,-0.013
201148,Brandan Wright,1610612763,MEM,F,28.0,7,7,1.0,3.0,7.0,0.429,0.468,-0.039
101109,Raymond Felton,1610612742,DAL,G,31.0,19,19,1.0,2.74,7.0,0.391,0.421,-0.03
101138,Brandon Bass,1610612747,LAL,F,30.0,16,16,1.0,3.25,7.0,0.464,0.446,0.018
2743,Kris Humphries,1610612764,WAS,F,30.0,16,16,1.0,3.31,6.94,0.477,0.447,0.03
203089,John Henson,1610612749,MIL,F,24.0,15,15,1.0,3.67,6.93,0.529,0.458,0.071
201155,Rodney Stuckey,1610612754,IND,G,29.0,12,12,1.0,2.83,6.92,0.41,0.413,-0.003
1626169,Stanley Johnson,1610612765,DET,F,19.0,18,18,1.0,3.5,6.89,0.508,0.437,0.071
203932,Aaron Gordon,1610612753,ORL,F,20.0,18,18,1.0,2.56,6.89,0.371,0.43,-0.059
203458,Alex Len,1610612756,PHX,C,22.0,19,19,1.0,3.63,6.89,0.527,0.455,0.071
201228,CJ Watson,1610612753,ORL,G,31.0,8,8,1.0,2.88,6.88,0.418,0.421,-0.003
203526,Raul Neto,1610612762,UTA,G,23.0,16,16,1.0,3.81,6.88,0.555,0.43,0.125
2749,Jameer Nelson,1610612743,DEN,G,33.0,17,17,1.0,2.82,6.88,0.41,0.421,-0.011
202711,Bojan Bogdanovic,1610612751,BKN,G-F,26.0,18,18,1.0,3.17,6.83,0.463,0.434,0.029
202738,Isaiah Thomas,1610612738,BOS,G,26.0,18,18,1.0,3.17,6.83,0.463,0.426,0.037
203090,Maurice Harkless,1610612757,POR,F,22.0,17,17,1.0,2.59,6.82,0.379,0.417,-0.038
1626163,Frank Kaminsky,1610612766,CHA,C,22.0,17,17,1.0,3.18,6.82,0.466,0.448,0.017
202330,Gordon Hayward,1610612762,UTA,F,25.0,16,16,1.0,2.94,6.81,0.431,0.443,-0.011
201147,Corey Brewer,1610612745,HOU,G-F,29.0,19,19,1.0,3.47,6.79,0.512,0.421,0.091
202720,Jon Leuer,1610612756,PHX,F,26.0,19,19,1.0,3.37,6.79,0.496,0.456,0.04
1718,Paul Pierce,1610612746,LAC,F,38.0,17,17,1.0,3.24,6.76,0.478,0.446,0.033
203094,Andrew Nicholson,1610612753,ORL,F,25.0,8,8,1.0,2.63,6.75,0.389,0.425,-0.036
201581,JJ Hickson,1610612743,DEN,C-F,27.0,15,15,1.0,2.67,6.73,0.396,0.451,-0.055
2734,Devin Harris,1610612742,DAL,G,32.0,18,18,1.0,3.0,6.72,0.446,0.419,0.027
204028,Tarik Black,1610612747,LAL,C-F,24.0,7,7,1.0,3.0,6.71,0.447,0.459,-0.013
1897,Metta World Peace,1610612747,LAL,F,36.0,14,14,1.0,2.64,6.71,0.394,0.444,-0.05
101150,Lou Williams,1610612747,LAL,G,29.0,16,16,1.0,3.06,6.69,0.458,0.414,0.044
201977,Marcus Thornton,1610612745,HOU,F-G,28.0,16,16,1.0,3.0,6.69,0.449,0.427,0.021
2561,David West,1610612759,SAS,F,35.0,19,19,1.0,3.37,6.68,0.504,0.454,0.05
201156,Nick Young,1610612747,LAL,F-G,30.0,17,17,1.0,2.88,6.53,0.441,0.442,-0.001
201177,Josh McRoberts,1610612748,MIA,F,28.0,17,17,1.0,2.35,6.53,0.36,0.434,-0.074
201564,O.J. Mayo,1610612749,MIL,G,28.0,8,8,1.0,2.5,6.5,0.385,0.429,-0.044
201229,Anthony Tolliver,1610612765,DET,F,30.0,18,18,1.0,2.78,6.44,0.431,0.447,-0.016
2550,Kirk Hinrich,1610612741,CHI,G,34.0,7,7,1.0,2.86,6.43,0.444,0.459,-0.015
2733,Shaun Livingston,1610612744,GSW,G,30.0,17,17,1.0,2.82,6.41,0.44,0.431,0.009
200826,Jose Juan Barea,1610612742,DAL,G,31.0,16,16,1.0,2.38,6.38,0.373,0.418,-0.045
202335,Patrick Patterson,1610612761,TOR,F,26.0,20,20,1.0,2.5,6.35,0.394,0.44,-0.047
201160,Jason Smith,1610612753,ORL,F-C,29.0,12,12,1.0,2.75,6.33,0.434,0.454,-0.019
202087,Alonzo Gee,1610612740,NOP,F,28.0,18,18,1.0,2.72,6.33,0.43,0.452,-0.022
201976,Patrick Beverley,1610612745,HOU,G,27.0,12,12,1.0,2.5,6.33,0.395,0.422,-0.028
202349,Greivis Vasquez,1610612749,MIL,G,28.0,16,16,1.0,3.06,6.31,0.485,0.408,0.077
2581,Steve Blake,1610612765,DET,G,35.0,15,15,1.0,2.93,6.27,0.468,0.431,0.038
203933,TJ Warren,1610612756,PHX,F,22.0,18,18,1.0,2.78,6.22,0.446,0.439,0.007
1626158,Richaun Holmes,1610612755,PHI,F,22.0,10,10,1.0,2.5,6.2,0.403,0.44,-0.037
203512,Lucas Nogueira,1610612761,TOR,C,23.0,5,5,1.0,2.6,6.2,0.419,0.46,-0.04
203504,Trey Burke,1610612762,UTA,G,23.0,16,16,1.0,2.88,6.19,0.465,0.433,0.031
